name_en,name_uz,name_la,name_ru
Fruit rot (Moniliosis)  ,Meva chirishi (monilioz)  ,Leveillula taurica feceris Erysiphales cichoracearum,Монилиоз  
Downy mildew of onion  ,Piyoz mildiuzi  ,Monilia cinerea Bonard. Monilia fructigena Honey.,Ложная мучнистая роса лука  
Downy mildew of cucumber  ,Bodring mildiuzi  ,Perenospora destructor Casp.,Ложная мучнистая роса огурца  
Late blight of potato  ,Kartoshka fitoftorasi  ,Peronoplasmopara cubensis,Фитофтороз картофеля  
Phoma of sunflower  ,Kungaboqar fomozi  ,Phitoptora infestans,Фома подсолнечника  
Potato late blight  ,Kartoshka fitoftorasi  ,Phoma macdonaldii Boerema.,Фитофтороз  
Rice blast  ,Guruch blast kasalligi (pirikulyarioz)  ,Phytophthora infestans,Пирикуляриоз риса  
Grapevine downy mildew  ,Uzum mildiuzi  ,Piricularia oryzae cavi,Милдью винограда  
Powdery mildew of apple  ,Olma un shudringi  ,Plasmopara viticola Berl. et de Toni,Мучнистая роса яблони  
Rust of sunflower  ,Kungaboqar zang kasalligi  ,Podosphaera leucotricha Salm.,Ржавчина подсолнечника  
Rust of corn  ,Makkajo‘xori zang kasalligi  ,Puccinia helianthi schw.,Ржавчина кукурузы  
Stripe rust of wheat  ,Bug‘doy chiziqli zang kasalligi  ,Puccinia sorghi Schw.,Полосатая ржавчина пшеницы  
Brown rust of wheat  ,Bug‘doy jigarrang zang kasalligi  ,Puccinia striiformis West.,Бурая ржавчина пшеницы  
Rhizoctonia rot  ,Rizoktonioz  ,Puccinia triticina Erikss.,Ризоктониоз  
Rhizoctonia rot (hypochnus form)  ,Rizoktonioz (gipoxnus shakli)  ,Rhizoctonia solani Kuehn.,Ризоктониоз (гипохнусная форма)  
Rhizoctonia rot (Thielaviopsis form)  ,Rizoktonioz (telaviopsis shakli)  ,Rhizoctonia solani Kuehn. Hypochnus solani Pr.,Ризоктониоз (телавиопсисная форма)  
White mold (Sclerotinia rot)  ,Oq chirish (sklerotinioz)  ,Rhizoctonia solani Kuehn. Thielaviopsis basicola,Склеротиниоз  
Septoria leaf blotch of wheat  ,Bug‘doy septoriozi  ,Sclerotinia sclerotiorum,Септориоз пшеницы  
Solanaceous virus disease  ,Paslen o‘simliklar virusli kasalligi  ,Septoria nodorum Septoria tritici. ,Вирусное заболевание паслёновых  
Head smut of maize  ,Makkajo‘xori bosh zararkunandasi (soxta bosh)  ,Solanum virus,Головня кукурузы  
Tobacco mosaic virus  ,Tamaki mozaika virusi  ,Sorosporium reilianum Me. Alp.,Вирус табачной мозаики  
Common smut of corn  ,Makkajo‘xori qora bosh kasalligi  ,Tobacco mosaic virus.,Пузырчатая головня кукурузы  
Apple scab  ,Olma qora dog‘ (parsha)  ,Ustilago zeae Unger.,Парша яблони  
Verticillium wilt  ,Vertitsillioz qurish  ,Venturia inaequalis Wint.,Вертициллёз  
Watermelon mosaic virus  ,Tarvuz mozaika virusi  ,Verticillium dahliae Kleb.,Вирус мозаики арбуза  
Bacterial blight of walnut  ,Yong‘oq bakterial dog‘ kasalligi  ,Watermelon mosaic virus,Бактериоз ореха  
Black rot (Xanthomonas of crucifers)  ,Krestotsvetli o‘simliklar bakterial chirishi  ,Xanthomonas arboricola pv.juglandis,Бактериоз крестоцветных  
Bacterial blight of cotton  ,Paxta bakterial dog‘ kasalligi  ,Xanthomonas campestris,Бактериоз хлопчатника  
Xanthomonas campestris pv. malvacearum,Xanthomonas campestris pv.malvacearum,Xanthomonas campestris pv. malvacearum,Xanthomonas campestris pv. malvacearum
